section,token,pos,count
body,Pleased,JJ,1
body,Poor,NNP,7
body,Pratt,NNP,2
body,Pray,VB,5
body,Presuming,VBG,1
body,Pride,UNK,1
body,Pursuing,VBG,1
body,Purvis,NNP,1
body,RETURNED,UNK,1
body,Ramsgate,NNP,3
body,Read,VB,1
body,Reflection,NN,1
body,Regard,NN,1
body,Rendered,VBN,1
body,Respect,NN,1
body,Reynolds,NNP,10
body,Ring,VBG,1
body,Roberts,NNP,1
body,Rosings,NNP,14
body,Rosings,NNPS,1
body,Rosings,NNS,6
body,S,NN,1
body,STAMPED,UNK,1
body,Sally,NNP,1
body,Sarah,NNP,1
body,Saturday,NNP,6
body,Say,VB,2
body,Scarborough,NNP,1
body,Scotland,NNP,8
body,Send,VB,1
body,Sept.,NNP,1
body,September,NNP,1
body,Seriously,RB,1
body,Shall,MD,2
body,She,PRP,182
body,Since,IN,4
body,Sir,NNP,7
body,Smiles,NNS,1
body,So,RB,4
body,Some,DT,3
body,Something,NN,1
body,Sometimes,RB,2
body,Son,NNP,1
body,Soon,RB,1
body,South,NNP,1
body,Spanish,JJ,1
body,St.,NNP,2
body,Stay,NNP,1
body,Stoke,NNP,1
body,Stone,NNP,1
body,Street,NNP,8
body,Such,JJ,4
body,Such,PDT,4
body,Sunday,NNP,3
body,Supposing,VBG,1
body,Sure,RB,1
body,Surely,RB,1
body,Surprise,NNP,1
body,Susan,NNP,1
body,T,NN,1
body,THE,DT,1
body,THE,UNK,6
body,THIS,UNK,1
body,TO,UNK,1
body,TPhich,NN,1
body,TWO,UNK,1
body,Take,VB,2
body,Teasing,VBG,1
body,Tell,VB,3
body,Ten,CD,3
body,Thank,VB,2
body,That,DT,16
body,That,IN,10
body,The,DT,135
body,Theatre,NNP,1
body,Theik,NNP,1
body,Their,PRP$,23
body,Then,RB,5
body,There,EX,37
body,These,DT,8
body,They,PRP,77
body,Think,VBP,1
body,This,DT,39
body,Those,DT,3
body,Though,IN,9
body,Thoughtless,JJ,1
body,Three,CD,1
body,Through,IN,1
body,Thursday,NNP,3
body,Till,IN,3
body,Times,NNP,1
body,To,TO,23
body,Too,RB,1
body,Towards,IN,1
body,True,JJ,2
body,Tues,NNS,1
body,Tuesday,NNP,5
body,Two,CD,3
body,U.S.A,NNP,1
body,Under,IN,1
body,Undoubtedly,NNP,1
body,Unfeeling,NNP,1
body,Unfortunately,RB,1
body,Unhappy,JJ,1
body,Upon,IN,3
body,V.,NNP,1
body,VII,NN,1
body,VL,SYM,1
body,VOL,NNP,12
body,VOLUMES,UNK,1
body,Vain,JJ,1
body,Very,RB,6
body,Vm,NN,1
body,Vol,UNK,1
body,Volume,NN,1
body,W,UNK,1
body,W.,NNP,2
body,WILL,UNK,1
body,War,NNP,1
body,Warwick,NNP,1
body,Was,VBD,3
body,Watsons,NNPS,1
body,We,PRP,29
body,Wednesday,NNP,6
body,Well,RB,10
body,Well,UH,15
body,Were,VBD,4
body,What,WDT,7
body,What,WP,30
body,Whatever,WDT,3
body,When,WRB,35
body,Where,WRB,2
body,Wherever,NNP,1
body,Whether,IN,1
body,While,IN,8
body,Whilst,IN,1
body,Who,WP,6
body,Wholly,RB,1
body,Why,WRB,10
body,Wickham,NN,1
body,Wickham,NNP,126
body,Wickhatn,NNP,1
body,Widely,RB,1
body,Widener,UNK,1
body,Wilfully,RB,1
body,Will,MD,4
body,William,NNP,6
body,Wilson,NNP,1
body,With,IN,20
body,Without,IN,1
body,Wo,MD,1
body,Woods,NNP,1
body,Words,NNS,1
body,Would,MD,2
body,Wretched,JJ,1
body,Write,VB,1
body,X.,NNP,1
body,XI,NN,1
body,XII,NN,1
body,XIII,NN,1
body,XIV,NNP,1
body,XIX,NN,1
body,XV,NN,1
body,XVI,NN,1
body,XVII,NN,1
body,XVIII,NNP,1
body,XX,NNP,1
body,XXI,NN,1
body,XXII,NN,1
body,XXIII,NN,1
body,XXIV,NN,1
body,XXV,NN,1
body,XXVI,NN,1
body,XXVII,NN,1
body,XXVIIL,NNP,1
body,Yea,NN,1
body,Yes,UH,26
body,Yet,CC,3
body,Yet,RB,6
body,You,PRP,100
body,Youknow,NNP,1
body,Young,JJ,1
body,Young,NNP,1
body,Younge,NNP,4
body,Your,PRP$,22
body,Yours,NNP,6
body,^,CD,1
body,^,NN,1
body,^,SYM,1
body,`,``,7
body,``,``,781
body,a,DT,919
body,a-shooting,JJ,1
body,a-year,JJ,1
body,abhorrence,NN,5
body,abhorrent,JJ,1
body,abide,VB,1
body,abiding,VBG,1
body,abilities,NNS,2
