section,token,pos,count
body,"4,1938",CD,7
body,"4,1939",CD,2
body,"4,200,000,000",CD,1
body,"4,451,360,000",CD,1
body,"4,462.8",CD,1
body,"4,59-60,61,73,75,78,79",CD,1
body,"4,870,000",CD,1
body,40,CD,26
body,"40,000,000",CD,9
body,400,CD,9
body,"400,000",CD,2
body,"400,000,000",CD,1
body,4000,CD,6
body,4005c,JJ,1
body,401,CD,1
body,403,CD,18
body,"403,415,431,432,435,436,437",CD,1
body,405,CD,3
body,406,CD,1
body,407,CD,3
body,"407,410,415,416,417,420,431",CD,1
body,409,CD,1
body,41,CD,8
body,"41,44",CD,1
body,410,CD,2
body,411,CD,1
body,412,CD,1
body,413,CD,4
body,414-415,CD,1
body,414-A,NN,1
body,415,CD,1
body,416,CD,1
body,417,CD,2
body,419,CD,1
body,42,CD,2
body,420,CD,2
body,421,CD,3
body,423,CD,1
body,424,CD,2
body,425,CD,1
body,427,CD,1
body,429,CD,2
body,43,CD,5
body,"43,348",CD,1
body,"43,93",CD,1
body,430,CD,6
body,431,CD,2
body,"431,446-447",CD,1
body,432,CD,4
body,433,CD,5
body,434,CD,2
body,"434,439,440,441,455,458,461",CD,1
body,435,CD,4
body,"435,436",CD,1
body,4350,CD,1
body,436,CD,2
body,437,CD,1
body,"437-438,439",CD,1
body,438,CD,1
body,"438,439,440,441,442,443,444",CD,1
body,439,CD,2
body,44,CD,2
body,"44,000",CD,1
body,440,CD,3
body,"440,000",CD,1
body,441,CD,4
body,442,CD,3
body,443,CD,1
body,"443,000",CD,1
body,444,CD,1
body,"444,454,458,461,479,499,526",CD,1
body,445,CD,7
body,"445,449,450,451,452,453,454",CD,1
body,446,CD,1
body,"446,450,452,464,465,467,468",CD,1
body,449,CD,1
body,"449-451,453",CD,1
body,45,CD,11
body,"45,000",CD,1
body,450,CD,11
body,"450,000",CD,3
body,"450,000,000",CD,1
body,4500,CD,2
body,451,CD,5
body,451-452,CD,1
body,452,CD,19
body,452-453,CD,1
body,453,CD,5
body,454,CD,2
body,455,CD,4
body,"455,456,457,459,460,464,466",CD,1
body,456,CD,1
body,456-a,JJ,1
body,456-c,JJ,1
body,456-d,JJ,1
body,456-e,NNP,1
body,457,CD,2
body,458,CD,1
body,"459,460,464,466,470,471,527",CD,1
body,46,CD,5
body,46-50,CD,1
body,460,CD,1
body,"460,000",CD,1
body,460-463,CD,1
body,461,CD,2
body,463,CD,2
body,464,CD,4
body,465,CD,1
body,"466,470,471,526",CD,1
body,467,CD,1
body,"467,468,469,470,471,473,475",CD,1
body,468,CD,1
body,469,CD,1
body,"469,481,485,486",CD,1
body,47,CD,6
body,"47,50",CD,1
body,471,CD,2
body,472,CD,1
body,"472,489",CD,1
body,473,CD,2
body,475,CD,4
body,"476,483,485,486,488,489,490",CD,1
body,477,CD,1
body,"477,000",CD,1
body,"477,200",CD,1
body,477.5,CD,1
body,479,CD,3
body,48,CD,5
body,480,CD,3
body,4800,CD,2
body,481,CD,1
body,483,CD,1
body,483.5,CD,1
body,484-485,CD,1
body,485,CD,4
body,"485,400",CD,1
body,486,CD,2
body,487,CD,4
body,488,CD,1
body,489,CD,6
body,489-492,CD,1
body,49,CD,4
body,"49,255,000",CD,2
body,490,CD,1
body,"490,494",CD,1
body,491,CD,2
body,"491,492-493",CD,1
body,"491,493",CD,1
body,492,CD,3
body,493,CD,1
body,"494,495,496",CD,1
body,495,CD,3
body,"495,509",CD,1
body,496,CD,2
body,497,CD,3
body,"497,000,000",CD,1
body,"497,498",CD,1
body,497-498,CD,1
body,498-499,CD,1
body,499,CD,6
body,4:30,CD,3
body,4Ltou,VB,1
body,4t,NN,1
body,5,CD,38
body,5,LS,1
body,"5,1937",CD,6
body,"5,1938",CD,4
body,"5,1941",CD,1
body,"5,213,000",CD,1
body,"5,220,221",CD,1
body,"5,36",CD,1
body,5.06,CD,1
body,5.30,CD,1
body,5.36,CD,1
body,50,CD,25
body,"50,000",CD,1
body,"50,000,000",CD,1
body,500,CD,19
body,"500,000",CD,5
body,500-501,CD,1
body,501,CD,3
body,502,CD,2
body,503,CD,2
body,504-505,CD,1
body,506,CD,1
body,507,CD,1
body,507-509,CD,1
body,509,CD,2
body,"509,900",CD,1
body,509-510,CD,2
body,51,CD,8
body,"51,140",CD,1
body,511,CD,2
body,512,CD,1
body,513,CD,1
body,515,CD,1
body,517,CD,5
body,518,CD,5
body,519,CD,9
body,"519,522,524",CD,1
body,52,CD,4
body,"52,000",CD,1
